algorithm,dataset,scale,sampling_algo,interconn,topology,runtime (ms)
BFS,com-lj,1,-,-,-,314
BFS,12month1,1,-,-,-,70
BFS,com-lj,2,TIES,1,Star,1170
BFS,12month1,2,TIES,1,Star,290
BFS,com-lj,2,TIES,20000,Star,960
BFS,12month1,2,TIES,20000,Star,230
BFS,com-lj,4,TIES,1,Star,2290
BFS,12month1,4,TIES,1,Star,490
BFS,com-lj,4,TIES,20000,Star,1910
BFS,12month1,4,TIES,20000,Star,390
BFS,com-lj,2,TIES,1,Chain,1440
BFS,12month1,2,TIES,1,Chain,310
BFS,com-lj,2,TIES,20000,Chain,1080
BFS,12month1,2,TIES,20000,Chain,240
BFS,com-lj,4,TIES,1,Chain,4120
BFS,12month1,4,TIES,1,Chain,1000
BFS,com-lj,4,TIES,20000,Chain,2360
BFS,12month1,4,TIES,20000,Chain,520
BFS,com-lj,2,TIES,1,Ring,1298
BFS,12month1,2,TIES,1,Ring,287
BFS,com-lj,2,TIES,20000,Ring,1018
BFS,12month1,2,TIES,20000,Ring,218
BFS,com-lj,4,TIES,1,Ring,3328
BFS,12month1,4,TIES,1,Ring,893
BFS,com-lj,4,TIES,20000,Ring,2369
BFS,12month1,4,TIES,20000,Ring,611
BFS,com-lj,2,TIES,1,FC,1120
BFS,12month1,2,TIES,1,FC,240
BFS,com-lj,2,TIES,20000,FC,920
BFS,12month1,2,TIES,20000,FC,200
BFS,com-lj,4,TIES,1,FC,2310
BFS,12month1,4,TIES,1,FC,460
BFS,com-lj,4,TIES,20000,FC,1820
BFS,12month1,4,TIES,20000,FC,390
PR,com-lj,1,-,-,-,1240
PR,12month1,1,-,-,-,440
PR,com-lj,2,TIES,1,Star,3040
PR,12month1,2,TIES,1,Star,1460
PR,com-lj,2,TIES,20000,Star,3020
PR,12month1,2,TIES,20000,Star,1460
PR,com-lj,4,TIES,1,Star,7420
PR,12month1,4,TIES,1,Star,2780
PR,com-lj,4,TIES,20000,Star,6820
PR,12month1,4,TIES,20000,Star,2780
PR,com-lj,2,TIES,1,Chain,3560
PR,12month1,2,TIES,1,Chain,1400
PR,com-lj,2,TIES,20000,Chain,3370
PR,12month1,2,TIES,20000,Chain,1410
PR,com-lj,4,TIES,1,Chain,7070
PR,12month1,4,TIES,1,Chain,2890
PR,com-lj,4,TIES,20000,Chain,7310
PR,12month1,4,TIES,20000,Chain,2770
PR,com-lj,2,TIES,1,Ring,2980
PR,12month1,2,TIES,1,Ring,1405
PR,com-lj,2,TIES,20000,Ring,3098
PR,12month1,2,TIES,20000,Ring,1399
PR,com-lj,4,TIES,1,Ring,6113
PR,12month1,4,TIES,1,Ring,2878
PR,com-lj,4,TIES,20000,Ring,6163
PR,12month1,4,TIES,20000,Ring,2881
PR,com-lj,2,TIES,1,FC,3520
PR,12month1,2,TIES,1,FC,1420
PR,com-lj,2,TIES,20000,FC,3030
PR,12month1,2,TIES,20000,FC,1400
PR,com-lj,4,TIES,1,FC,6580
PR,12month1,4,TIES,1,FC,2780
PR,com-lj,4,TIES,20000,FC,8240
PR,12month1,4,TIES,20000,FC,2810
